These forms need IPA conversion via cltk (Latin) or manual rules (Sardinian).
CONCEPT         LANGUAGE                  FORM
------------------------------------------------------------
ASH             Latin                     cinis
BARK            Latin                     cortex
BELLY           Latin                     uenter
BIG             Latin                     magnus
BIRD            Latin                     auis
BITE            Latin                     mordēre
BLACK           Latin                     niger
BLOOD           Latin                     sanguīs
BONE            Latin                     os
BURN            Latin                     ardēre
CLAW            Latin                     unguis
CLOUD           Latin                     nūbēs
COLD            Latin                     frīgidus
COME            Latin                     uenīre
DIE             Latin                     morī
DOG             Latin                     canis
DRINK           Latin                     bibere
DRY             Latin                     siccus
EAR             Latin                     auris
EARTH           Latin                     terra
EAT             Latin                     edere
EGG             Latin                     ōuum
EYE             Latin                     oculus
FEATHER         Latin                     plūma
FIRE            Latin                     ignis
FISH            Latin                     piscis
FLESH           Latin                     carō
FLY             Latin                     uolāre
FOOT            Latin                     pēs
FULL            Latin                     plēnus
GIVE            Latin                     dare
GOOD            Latin                     bonus
GREEN           Latin                     uiridis
HAIR            Latin                     capillī
HAND            Latin                     manus
HEAD            Latin                     caput
HEAR            Latin                     audīre
HEART           Latin                     cor
HORN            Latin                     cornū
HOT             Latin                     calidus
KILL            Latin                     interficere
KNEE            Latin                     genu
KNOW            Latin                     scīre
LEAF            Latin                     folium
LIVER           Latin                     iecur
LONG            Latin                     longus
LOUSE           Latin                     pēdiculus
MAN             Latin                     uir
MOON            Latin                     lūna
MOUNTAIN        Latin                     mōns
MOUTH           Latin                     ōs
NAME            Latin                     nōmen
NECK            Latin                     collum
NEW             Latin                     nouus
NIGHT           Latin                     nox
NOSE            Latin                     nāsus
ONE             Latin                     ūnus
RAIN            Latin                     pluuia
RED             Latin                     ruber
ROOT            Latin                     rādix
ROUND           Latin                     rotundus
SAND            Latin                     harēna
SAY             Latin                     dicere
SEE             Latin                     uidēre
SEED            Latin                     sēmen
SIT             Latin                     sedēre
SKIN            Latin                     cutis
SLEEP           Latin                     dormīre
SMALL           Latin                     paruus
SMOKE           Latin                     fūmus
STAND           Latin                     stāre
STAR            Latin                     stēlla
STONE           Latin                     lapis
SUN             Latin                     sōl
SWIM            Latin                     nāre
TAIL            Latin                     cauda
TONGUE          Latin                     lingua
TOOTH           Latin                     dens
TREE            Latin                     arbor
TWO             Latin                     duo
WALK            Latin                     īre
WATER           Latin                     aqua
WHITE           Latin                     albus
WOMAN           Latin                     mulier
YELLOW          Latin                     flāuus
